package,42638f7-allocations,42638f7-time,7bb8472-allocations,7bb8472-time,8.0.2-allocations,8.0.2-time,f6f0fd9-allocations,f6f0fd9-time
crypto-random-0.0,3.75774912e8,0.799,3.84990096e8,0.7849999999999999,8.307846e8,1.685,3.85838464e8,0.9850000000000001
cryptohash-0.11,6.93842608e8,1.221,7.17895296e8,1.236,1.271558696e9,2.3049999999999997,7.84990504e8,1.3410000000000002
cryptohash-md5-0.11.100,1.73361552e8,0.447,1.72583408e8,0.533,4.16154656e8,0.992,1.72581408e8,0.49
cryptohash-sha1-0.11.100,1.73768472e8,0.44599999999999995,1.72830648e8,0.45299999999999996,4.16569824e8,1.153,1.73308112e8,0.396
cryptonite-0,3.533136416e9,5.6370000000000005,3.83576008e9,6.212,5.726744384e9,9.094999999999999,4.219332048e9,7.542000000000001
css-text-0.1.2,2.51976968e8,0.533,2.49770816e8,0.6839999999999999,5.39636472e8,1.084,2.51831504e8,0.736
data-default-0.7.1,1.97114344e8,0.41400000000000003,1.96775376e8,0.406,4.42698792e8,1.04,1.97114648e8,0.386
data-default-class-0.1.2,1.80070952e8,0.42200000000000004,1.78301112e8,0.48,4.30105104e8,0.9219999999999999,1.78390776e8,0.495
data-default-instances-containers-0.0,1.11201968e8,0.272,1.11489448e8,0.307,2.1580716e8,0.458,1.1150488e8,0.331
data-default-instances-dlist-0.0,6.2962256e7,0.15,6.2947536e7,0.16399999999999998,2.53794504e8,0.6819999999999999,6.2946896e7,0.174
data-default-instances-old-locale-0.0,6.4911968e7,0.155,6.490756e7,0.16,1.55582656e8,0.312,6.5008304e7,0.153
deepseq-generics-0.2.0,1.56876832e8,0.608,1.5687604e8,0.45899999999999996,2.32093352e8,0.533,1.56870648e8,0.41500000000000004
derive-2.6,0,0,0,0,4.121759784e9,6.9559999999999995,0,0
distributive-0.5,3.03177624e8,0.69,3.02160208e8,0.623,6.36655808e8,1.623,3.1786056e8,0.667
dlist-0.8.0,2.67708488e8,0.7,2.65401272e8,0.6519999999999999,5.0620516e8,1.341,2.69293432e8,0.661
doctest-0.11,7.96242656e8,1.903,8.05027072e8,1.971,1.682059184e9,3.615,8.12292208e8,2.1399999999999997
easy-file-0.2,2.7417176e8,0.585,2.81292384e8,0.6479999999999999,6.02029792e8,1.623,2.82042344e8,0.7629999999999999
email-validate-2.2,3.68488e8,0.971,3.66879264e8,0.8360000000000001,7.802714e8,1.607,3.73491544e8,0.974
entropy-0.3,1.77317768e8,0.43199999999999994,1.82941752e8,0.482,4.35451136e8,1.1139999999999999,1.8328132e8,0.5529999999999999
erf-2.0.0,1.10949568e8,0.26,1.10701328e8,0.263,2.70810432e8,0.649,1.106566e8,0.364
